"","ReportingNode","Species","LifeStage","Season","LimitingFactor","notes","species.lifestage","species.lifestage.hyd"
"29","GLEN","Steelhead","smolts","Dry","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"30","GLEN","Steelhead","smolts","Wet","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"31","GLEN","Typha","adult","Wet","Depth","","Typha Adult","Typha Adult Depth"
"32","GLEN","SAS","adult","Wet","Depth","","Sas Adult","Sas Adult Depth"
"33","GLEN","SAS","growth","Wet","Depth","","Sas Juvenile","Sas Juvenile Depth"
"34","GLEN","Cladophora","adult","Wet","Velocity","or depth, similar decline but depth is higher","Cladophora Adult","Cladophora Adult Velocity"
"35","F300","Steelhead","prolonged","Wet","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"36","F300","Steelhead","burst","Dry","Depth","","Steelhead Burst","Steelhead Burst Depth"
"37","F300","Steelhead","burst","Wet","Depth","","Steelhead Burst","Steelhead Burst Depth"
"38","F300","Steelhead","smolts","Dry","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"39","F300","Steelhead","smolts","Wet","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"40","F319","Cladophora","adult","Wet","Velocity","","Cladophora Adult","Cladophora Adult Velocity"
"41","F319","Steelhead","prolonged","Wet","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"42","F319","Steelhead","burst","Wet","Depth","","Steelhead Burst","Steelhead Burst Depth"
"43","F319","Steelhead","smolts","Wet","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"44","F34D","Steelhead","prolonged","Wet","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"45","F34D","Steelhead","burst","Dry","Depth","","Steelhead Burst","Steelhead Burst Depth"
"46","F34D","Steelhead","burst","Wet","Depth","","Steelhead Burst","Steelhead Burst Depth"
"47","F34D","Steelhead","smolts","Wet","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"48","F57C","Typha","adult","Wet","Depth","","Typha Adult","Typha Adult Depth"
"49","F57C","Cladophora","adult","Wet","Velocity","","Cladophora Adult","Cladophora Adult Velocity"
"50","F57C","SAS","adult","Dry","Depth","","Sas Adult","Sas Adult Depth"
"51","F57C","SAS","growth","Wet","Depth","some years it incresses so might be none","Sas Juvenile","Sas Juvenile Depth"
"52","F57C","SAS","growth","Dry","Depth","","Sas Juvenile","Sas Juvenile Depth"
"53","F57C","Steelhead","prolonged","Wet","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"54","F57C","Steelhead","burst","Dry","Depth","","Steelhead Burst","Steelhead Burst Depth"
"55","F57C","Steelhead","burst","Wet","Depth","","Steelhead Burst","Steelhead Burst Depth"
"56","F57C","Steelhead","smolts","Dry","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"57","F57C","Steelhead","smolts","Wet","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"58","LA11","Typha","adult","Wet","Depth","","Typha Adult","Typha Adult Depth"
"59","LA11","Cladophora","adult","Wet","Velocity","","Cladophora Adult","Cladophora Adult Velocity"
"60","LA11","SAS","adult","Wet","Depth","","Sas Adult","Sas Adult Depth"
"61","LA11","SAS","growth","Dry","Depth","","Sas Juvenile","Sas Juvenile Depth"
"62","LA11","SAS","growth","Wet","Depth","","Sas Juvenile","Sas Juvenile Depth"
"63","LA11","Steelhead","prolonged","Wet","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"64","LA11","Steelhead","burst","Dry","Depth","","Steelhead Burst","Steelhead Burst Depth"
"65","LA11","Steelhead","burst","Wet","Depth","","Steelhead Burst","Steelhead Burst Depth"
"66","LA11","Steelhead","smolts","Dry","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"67","LA11","Steelhead","smolts","Wet","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"68","LA13","Cladophora","adult","Wet","Velocity","or depth, similar decline but depth is higher","Cladophora Adult","Cladophora Adult Velocity"
"69","LA13","Steelhead","burst","Dry","Velocity","","Steelhead Burst","Steelhead Burst Velocity"
"70","LA13","Steelhead","burst","Wet","Velocity","or depth, similar decline but depth is higher and large. Variation in years","Steelhead Burst","Steelhead Burst Velocity"
"71","LA13","Steelhead","smolts","Dry","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"72","LA13","Steelhead","smolts","Wet","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"73","LA14","Typha","adult","Wet","Depth","","Typha Adult","Typha Adult Depth"
"74","LA14","Typha","growth","Dry","Depth","","Typha Seedling","Typha Seedling Depth"
"75","LA14","SAS","adult","Wet","Depth","","Sas Adult","Sas Adult Depth"
"76","LA14","SAS","growth","Wet","Depth","","Sas Juvenile","Sas Juvenile Depth"
"77","LA14","SAS","growth","Dry","Depth","","Sas Juvenile","Sas Juvenile Depth"
"78","LA14","Steelhead","prolonged","Wet","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"79","LA14","Steelhead","burst","Dry","Depth","","Steelhead Burst","Steelhead Burst Depth"
"80","LA14","Steelhead","burst","Wet","Depth","","Steelhead Burst","Steelhead Burst Depth"
"81","LA14","Steelhead","smolts","Dry","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"82","LA14","Steelhead","smolts","Wet","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"83","LA20_2","Steelhead","prolonged","Wet","Depth","very small decline","Steelhead Prolonged","Steelhead Prolonged Depth"
"84","LA20_2","Steelhead","burst","Wet","Depth","very small decline","Steelhead Burst","Steelhead Burst Depth"
"85","LA20_2","Steelhead","smolts","Wet","Depth","very small decline","Steelhead Smolts","Steelhead Smolts Depth"
"86","LA3","Cladophora","adult","Wet","Velocity","","Cladophora Adult","Cladophora Adult Velocity"
"87","LA3","Steelhead","prolonged","Wet","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"88","LA3","Steelhead","burst","Wet","Depth","","Steelhead Burst","Steelhead Burst Depth"
"89","LA3","Steelhead","smolts","Wet","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"90","LA8","Cladophora","adult","Wet","Velocity","","Cladophora Adult","Cladophora Adult Velocity"
"91","LA8","Steelhead","prolonged","Dry","Depth","","Steelhead Prolonged","Steelhead Prolonged Depth"
"92","LA8","Steelhead","burst","Wet","Depth","","Steelhead Burst","Steelhead Burst Depth"
"93","LA8","Steelhead","burst","Dry","Depth","","Steelhead Burst","Steelhead Burst Depth"
"94","LA8","Steelhead","smolts","Wet","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"95","LA8","Steelhead","smolts","Dry","Depth","","Steelhead Smolts","Steelhead Smolts Depth"
"96","LA20_2","SAS","Adult","Dry","Velocity","very small decline","Sas Adult","Sas Adult Velocity"
"97","LA14","Typha","growth","Wet","Depth","","Typha Seedling","Typha Seedling Depth"
