Species,Node,Reach,Seasonal.Component,Lower_Limit,Upper_Limit,Probability_Threshold,waterbody
Typha,LA11,LAR 5 - Glendale Narrows,Wet Season Baseflow,24,65,Medium,Los Angeles River Reach 3
Willow,LA11,LAR 5 - Glendale Narrows,Dry Season Baseflow,25,666,High,Los Angeles River Reach 3
Willow,LA11,LAR 5 - Glendale Narrows,Wet Season Baseflow,25,376,High,Los Angeles River Reach 3
Typha,LA11,LAR 5 - Glendale Narrows,Dry Season Baseflow,93,824,High,Los Angeles River Reach 3
Typha,LA11,LAR 5 - Glendale Narrows,Wet Season Baseflow,93,824,High,Los Angeles River Reach 3
Kayak,LA11,LAR 5 - Glendale Narrows,Dry Season Baseflow,87,232,Medium,Los Angeles River Reach 3
Fishing,LA11,LAR 5 - Glendale Narrows,Dry Season Baseflow,101,419,Medium,Los Angeles River Reach 3
Kayak,LA11,LAR 5 - Glendale Narrows,Dry Season Baseflow,87,232,High,Los Angeles River Reach 3
Fishing,LA11,LAR 5 - Glendale Narrows,Dry Season Baseflow,101,419,High,Los Angeles River Reach 3
Willow,LA14,LAR 7 - Below Burbank,Dry Season Baseflow,8,521,Medium,Los Angeles River Reach 3
Willow,LA14,LAR 7 - Below Burbank,Wet Season Baseflow,8,521,Medium,Los Angeles River Reach 3
Typha,LA14,LAR 7 - Below Burbank,Dry Season Baseflow,84,197,Medium,Los Angeles River Reach 3
Typha,LA14,LAR 7 - Below Burbank,Wet Season Baseflow,84,1968,Medium,Los Angeles River Reach 3
Willow,LA14,LAR 7 - Below Burbank,Dry Season Baseflow,8,655,High,Los Angeles River Reach 3
Willow,LA14,LAR 7 - Below Burbank,Wet Season Baseflow,8,521,High,Los Angeles River Reach 3
Typha,LA14,LAR 7 - Below Burbank,Dry Season Baseflow,294,1419,High,Los Angeles River Reach 3
Typha,LA14,LAR 7 - Below Burbank,Wet Season Baseflow,294,1419,High,Los Angeles River Reach 3
Kayak,LA14,LAR 7 - Below Burbank,Dry Season Baseflow,116,301,Medium,Los Angeles River Reach 3
Fishing,LA14,LAR 7 - Below Burbank,Dry Season Baseflow,134,532,Medium,Los Angeles River Reach 3
Kayak,LA14,LAR 7 - Below Burbank,Dry Season Baseflow,116,301,High,Los Angeles River Reach 3
Fishing,LA14,LAR 7 - Below Burbank,Dry Season Baseflow,134,532,High,Los Angeles River Reach 3
Willow,LA20_2,LAR 10 - Upstream Reach,Dry Season Baseflow,1,1131,Medium,Los Angeles River Reach 5
Willow,LA20_2,LAR 10 - Upstream Reach,Wet Season Baseflow,1,1131,Medium,Los Angeles River Reach 5
Typha,LA20_2,LAR 10 - Upstream Reach,Dry Season Baseflow,1,1172,Medium,Los Angeles River Reach 5
Typha,LA20_2,LAR 10 - Upstream Reach,Wet Season Baseflow,1,1172,Medium,Los Angeles River Reach 5
Willow,LA20_2,LAR 10 - Upstream Reach,Dry Season Baseflow,1,1502,High,Los Angeles River Reach 5
Willow,LA20_2,LAR 10 - Upstream Reach,Wet Season Baseflow,1,1131,High,Los Angeles River Reach 5
Typha,LA20_2,LAR 10 - Upstream Reach,Dry Season Baseflow,1,1160,High,Los Angeles River Reach 5
Typha,LA20_2,LAR 10 - Upstream Reach,Wet Season Baseflow,1,1160,High,Los Angeles River Reach 5
